Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.8503E-05,-3.9839E-06,0.0049956,0,0,0,0.022169,4.4372E-06,1.3719E-10,1.4194E-09,4.432E-06,1.3021E-10,8.5002E-06,0,0,0,0,0,0,package://mylink_urdf/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://mylink_urdf/meshes/base_link.STL,,基座-1,frame_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-2.4999E-05,5.1564E-10,-0.023575,0,0,0,0.0095404,1.7851E-06,1.1816E-15,-3.0825E-09,1.7915E-06,-1.1377E-13,1.1684E-07,0,0,0,0,0,0,package://mylink_urdf/meshes/link_1.STL,0.66667,0.69804,0.76863,1,0,0,0,0,0,0,package://mylink_urdf/meshes/link_1.STL,,连杆1-1,frame_1,axis1,joint_1,revolute,0,0,0.0465,0,0,0,base_link,0,0,1,2.5,2,-3.14,3.14,,,,,,,,
link_2,0.020159,-1.0519E-09,3.8421E-09,0,0,0,0.0067277,8.856E-08,-1.1488E-13,3.9155E-13,7.2036E-07,1.0514E-12,7.1373E-07,0,0,0,0,0,0,package://mylink_urdf/meshes/link_2.STL,0.039216,0.4902,0.7098,1,0,0,0,0,0,0,package://mylink_urdf/meshes/link_2.STL,,连杆2-1,frame_2,axis2,joint_2,revolute,0,0,0,1.5708,-1.5708,0,link_1,0,0,-1,2.5,2,-2.7,2.7,,,,,,,,
